H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
2.94,0.127,0.000,0.0104,1.460,13.000,0.008,0.000,0.131,0.000,0.000,0.000,0,17.50
2.96,0.127,0.001,0.0100,1.460,27.000,0.686,0.000,0.131,0.001,0.787,0.242,0,17.50
2.98,0.524,0.018,0.0106,1.540,23.000,3.387,0.000,0.528,0.018,3.435,4.313,0,17.50
3.00,0.524,0.015,0.0108,1.540,33.000,2.818,0.000,0.528,0.015,2.863,3.579,0,17.50
3.02,0.467,0.015,0.0105,1.590,31.000,3.160,0.000,0.471,0.015,3.212,3.594,0,17.50
3.04,0.465,0.013,0.0109,1.650,32.000,2.746,0.000,0.469,0.013,2.796,3.137,0,17.50
3.06,0.470,0.013,0.0109,1.640,31.000,2.717,0.000,0.474,0.013,2.766,2.922,0,17.50
3.08,0.459,0.014,0.0110,1.600,16.000,2.997,0.000,0.464,0.014,3.050,2.936,0,17.50
3.10,0.483,0.013,0.0106,1.620,29.000,2.646,0.000,0.487,0.013,2.692,2.706,0,17.50
3.12,0.468,0.011,0.0110,1.600,22.000,2.305,0.000,0.473,0.011,2.350,2.256,0,17.50
3.14,0.445,0.011,0.0110,1.590,11.000,2.423,0.000,0.450,0.011,2.472,2.219,0,17.50
3.16,0.462,0.012,0.0110,1.590,8.000,2.549,0.000,0.467,0.012,2.597,2.418,0,17.50
3.18,0.479,0.011,0.0108,1.560,18.000,2.253,0.000,0.483,0.011,2.296,2.204,0,18.00
3.20,0.563,0.012,0.0112,1.560,18.000,2.094,0.000,0.568,0.012,2.131,2.402,0,18.00
3.22,0.602,0.015,0.0112,1.560,15.000,2.454,0.000,0.607,0.015,2.492,3.014,0,18.00
3.24,0.558,0.014,0.0112,1.550,21.000,2.469,0.000,0.563,0.014,2.509,2.824,0,18.00
3.26,0.470,0.015,0.0112,1.530,21.000,3.137,0.000,0.475,0.015,3.191,3.033,0,17.50
3.28,0.501,0.014,0.0114,1.430,1.000,2.746,0.000,0.506,0.014,2.794,2.834,0,17.50
3.30,0.464,0.014,0.0114,1.430,15.000,2.963,0.000,0.469,0.014,3.017,2.842,0,17.50
3.32,0.463,0.014,0.0114,1.430,8.000,2.969,0.000,0.468,0.014,3.024,2.905,0,17.50
3.34,0.446,0.014,0.0110,1.430,12.000,3.083,0.000,0.451,0.014,3.139,2.985,0,17.50
